tid,assign,margin,home_metric,away_metric
v1_p8_1,,2.9537811279296875,84.09695434570312,87.05073547363281
v1_p8_3,,4.370849609375,88.52485656738281,84.15400695800781
v1_p9_8,,5.067131042480469,58.90545654296875,53.83832550048828
v1_p9_3,,9.918663024902344,63.75557708740234,73.67424011230469
v1_p6_4,,11.01116943359375,57.75460815429688,46.743438720703125
v1_p5_9,,11.50009536743164,59.23866653442383,70.73876190185547
v1_p4_3,,18.55704498291016,66.58992767333984,85.14697265625
v1_p8_8,,18.686920166015625,71.90532684326172,90.59224700927734
v1_p8_9,,21.52738571166992,40.90338134765625,62.43076705932617
v1_p6_5,,21.62169647216797,63.49608612060547,85.11778259277344
v1_p5_3,,25.13465881347656,49.275840759277344,74.4104995727539
v1_p9_1,,27.534725189208984,52.73184585571289,80.26657104492188
v1_p9_5,,30.315597534179688,110.80322265625,80.48762512207031
v1_p9_7,,30.93614959716797,105.16981506347656,74.2336654663086
v1_p5_5,,31.073917388916016,81.3268814086914,50.25296401977539
v1_p7_6,,35.436126708984375,105.79298400878906,70.35685729980469
v1_p7_10,,35.489784240722656,39.85633087158203,75.34611511230469
v1_p4_1,,35.82635498046875,54.42421722412109,90.25057220458984
