seq,owner_p10,owner_p25,owner_p50,owner_p75,owner_p90,min_p10,min_p25,min_p50,min_p75,min_p90,n_owner,n_min
v1_p4,28.005560223775966,39.69622843835824,77.51070789444654,130.34925673548008,377.759277580317,28.005560223775966,39.69622843835824,77.51070789444654,130.34925673548008,377.759277580317,46,46
v1_p5,33.82720308957292,45.949188306559115,67.03663159707432,99.56062219083672,157.5661059543618,33.82720308957292,45.949188306559115,67.03663159707432,99.56062219083672,157.5661059543618,48,48
v1_p6,23.06023720417837,36.26004739924098,60.540128649377685,137.10174536393322,349.25873897320605,23.06023720417837,36.26004739924098,60.540128649377685,137.10174536393322,349.25873897320605,33,33
v1_p7,16.007394732771886,25.264817124829076,64.98752724296443,118.21768707842398,386.97662814512387,16.007394732771886,25.264817124829076,64.98752724296443,118.21768707842398,386.97662814512387,68,68
v1_p8,33.24363079797119,48.69558110296871,74.19062890831373,98.87443677165271,148.05129413109321,33.24363079797119,48.69558110296871,74.19062890831373,98.87443677165271,148.05129413109321,28,28
v1_p9,14.942661595968227,32.40486591016847,55.53397143267169,80.07722566738688,139.33878780088108,14.942661595968227,32.40486591016847,55.53397143267169,80.07722566738688,139.33878780088108,33,33
v2_p4,27.651038769500698,40.394305124797,60.4326549429695,90.91028910410526,132.74765535112954,27.651038769500698,40.394305124797,60.4326549429695,90.91028910410526,132.74765535112954,17,17
v2_p5,14.377666797910518,30.542118169373875,58.36716116239336,89.79637946283586,143.22989814082996,14.377666797910518,30.542118169373875,58.36716116239336,89.79637946283586,143.22989814082996,25,25
v2_p6,20.599355850018867,31.50938524846074,43.7394614716551,67.06467068340271,107.31676471887083,20.599355850018867,31.50938524846074,43.7394614716551,67.06467068340271,107.31676471887083,27,27
v2_p7,15.72464540212309,21.750310459283,35.447476634818464,84.68644843392595,121.84149765133715,15.72464540212309,21.750310459283,35.447476634818464,84.68644843392595,121.84149765133715,49,49
v2_p8,24.13668232398815,25.4446893395973,29.156851729055788,36.210909172393315,62.63796169340198,24.13668232398815,25.4446893395973,29.156851729055788,36.210909172393315,62.63796169340198,8,8
v2_p9,32.106486312409494,38.377095419933646,49.30250757980531,77.92433873482743,167.45157077967153,32.106486312409494,38.377095419933646,49.30250757980531,77.92433873482743,167.45157077967153,22,22
v3_p1,23.585933852977526,30.585807652011724,43.874966456230254,85.6784924425439,153.71245831683987,23.585933852977526,30.585807652011724,43.874966456230254,85.6784924425439,153.71245831683987,70,70
v3_p2,13.454442097997543,21.66404159523328,41.505060452451005,114.27967429355051,267.8180682092252,13.454442097997543,21.66404159523328,41.505060452451005,114.27967429355051,267.8180682092252,49,49
v3_p3,29.98373444958404,53.1019773489462,78.75361398463951,102.43578887400632,247.66038067518247,29.98373444958404,53.1019773489462,78.75361398463951,102.43578887400632,247.66038067518247,49,49
v3_p4,16.492152856852872,27.501728769720316,48.223170278812816,237.6890415887209,728.4251018433306,16.492152856852872,27.501728769720316,48.223170278812816,237.6890415887209,728.4251018433306,36,36
v3_p5,28.054117380852787,51.96422942513542,71.54542316570736,99.06006141752927,128.9976650257188,28.054117380852787,51.96422942513542,71.54542316570736,99.06006141752927,128.9976650257188,68,68
v3_p6,11.162235069088878,23.195676948948908,73.8286153300249,162.30068748435542,195.31719980475663,11.162235069088878,23.195676948948908,73.8286153300249,162.30068748435542,195.31719980475663,41,41
